annee,age_min,age_max,population
2019,0,4,10585557
2019,5,9,11890884
2019,10,14,12851037
2019,15,19,12731886
2019,20,24,11922738
2019,25,29,11155701
2019,30,34,12123807
2019,35,39,12539883
2019,40,44,12884172
2019,45,49,12632292
2019,50,54,13501716
2019,55,59,13320819
2019,60,64,12595794
2019,65,69,11726421
2019,70,74,11115774
2019,75,79,8264802
2019,80,84,5416296
2019,85,89,4056594
2019,90,94,2125344
2019,95,120,686256
2020,0,4,10585557
2020,5,9,11890884
2020,10,14,12851037
2020,15,19,12731886
2020,20,24,11922738
2020,25,29,11155701
2020,30,34,12123807
2020,35,39,12539883
2020,40,44,12884172
2020,45,49,12632292
2020,50,54,13501716
2020,55,59,13320819
2020,60,64,12595794
2020,65,69,11726421
2020,70,74,11115774
2020,75,79,8264802
2020,80,84,5416296
2020,85,89,4056594
2020,90,94,2125344
2020,95,120,686256
2021,0,4,10585557
2021,5,9,11890884
2021,10,14,12851037
2021,15,19,12731886
2021,20,24,11922738
2021,25,29,11155701
2021,30,34,12123807
2021,35,39,12539883
2021,40,44,12884172
2021,45,49,12632292
2021,50,54,13501716
2021,55,59,13320819
2021,60,64,12595794
2021,65,69,11726421
2021,70,74,11115774
2021,75,79,8264802
2021,80,84,5416296
2021,85,89,4056594
2021,90,94,2125344
2021,95,120,686256
2022,0,4,10585557
2022,5,9,11890884
2022,10,14,12851037
2022,15,19,12731886
2022,20,24,11922738
2022,25,29,11155701
2022,30,34,12123807
2022,35,39,12539883
2022,40,44,12884172
2022,45,49,12632292
2022,50,54,13501716
2022,55,59,13320819
2022,60,64,12595794
2022,65,69,11726421
2022,70,74,11115774
2022,75,79,8264802
2022,80,84,5416296
2022,85,89,4056594
2022,90,94,2125344
2022,95,120,686256
2023,0,4,10585557
2023,5,9,11890884
2023,10,14,12851037
2023,15,19,12731886
2023,20,24,11922738
2023,25,29,11155701
2023,30,34,12123807
2023,35,39,12539883
2023,40,44,12884172
2023,45,49,12632292
2023,50,54,13501716
2023,55,59,13320819
2023,60,64,12595794
2023,65,69,11726421
2023,70,74,11115774
2023,75,79,8264802
2023,80,84,5416296
2023,85,89,4056594
2023,90,94,2125344
2023,95,120,686256
