annee,departement,age_min,age_max,population
2019,01,0,4,37167
2019,01,5,9,44341
2019,01,10,14,47368
2019,01,15,19,41851
2019,01,20,24,33385
2019,01,25,29,32300
2019,01,30,34,40240
2019,01,35,39,44035
2019,01,40,44,45914
2019,01,45,49,44143
2019,01,50,54,47484
2019,01,55,59,45586
2019,01,60,64,40402
2019,01,65,69,35995
2019,01,70,74,32966
2019,01,75,79,24933
2019,01,80,84,15541
2019,01,85,89,10616
2019,01,90,94,5748
2019,01,95,120,1922
2019,02,0,4,25904
2019,02,5,9,31619
2019,02,10,14,35428
2019,02,15,19,32733
2019,02,20,24,28635
2019,02,25,29,25040
2019,02,30,34,28659
2019,02,35,39,31120
2019,02,40,44,32033
2019,02,45,49,31422
2019,02,50,54,33957
2019,02,55,59,34978
2019,02,60,64,34843
2019,02,65,69,32561
2019,02,70,74,31333
2019,02,75,79,21439
2019,02,80,84,13336
2019,02,85,89,10408
2019,02,90,94,5571
2019,02,95,120,1772
2019,03,0,4,13298
2019,03,5,9,16167
2019,03,10,14,18178
2019,03,15,19,18178
2019,03,20,24,16545
2019,03,25,29,14254
2019,03,30,34,15177
2019,03,35,39,16171
2019,03,40,44,18270
2019,03,45,49,19172
2019,03,50,54,22517
2019,03,55,59,23103
2019,03,60,64,23758
2019,03,65,69,24288
2019,03,70,74,24369
2019,03,75,79,18885
2019,03,80,84,12798
2019,03,85,89,10036
2019,03,90,94,5480
2019,03,95,120,1799
2019,04,0,4,7046
2019,04,5,9,8678
2019,04,10,14,9476
2019,04,15,19,8629
2019,04,20,24,7157
2019,04,25,29,6755
2019,04,30,34,8162
2019,04,35,39,9000
2019,04,40,44,9501
2019,04,45,49,9839
2019,04,50,54,11472
2019,04,55,59,12248
2019,04,60,64,12377
2019,04,65,69,12192
2019,04,70,74,11553
2019,04,75,79,9110
2019,04,80,84,6150
2019,04,85,89,4373
2019,04,90,94,2230
2019,04,95,120,706
2019,05,0,4,6095
2019,05,5,9,6850
2019,05,10,14,7926
2019,05,15,19,7324
2019,05,20,24,5685
2019,05,25,29,5627
2019,05,30,34,7137
2019,05,35,39,7826
2019,05,40,44,8409
2019,05,45,49,8213
2019,05,50,54,9759
2019,05,55,59,10136
2019,05,60,64,10725
2019,05,65,69,10316
2019,05,70,74,9836
2019,05,75,79,7566
2019,05,80,84,4818
2019,05,85,89,3464
