annee,departement,population
2019,01,671937
2019,02,522791
2019,03,332443
2019,04,166654
2019,05,139942
2019,06,1110328
2019,07,332230
2019,08,265417
2019,09,154581
2019,10,312713
2019,11,379775
2019,12,279504
2019,13,2069118
2019,14,700595
2019,15,143639
2019,16,351036
2019,17,665904
2019,18,297274
2019,19,237077
2019,2A,163955
2019,2B,187300
2019,21,536166
2019,22,607834
2019,23,113106
2019,24,411382
2019,25,550112
2019,26,523185
2019,27,596710
2019,28,428994
2019,29,926065
2019,30,757435
2019,31,1470367
2019,32,192820
2019,33,1691437
2019,34,1232805
2019,35,1118600
2019,36,214914
2019,37,618016
2019,38,1294476
2019,39,256814
2019,40,428669
2019,41,326465
2019,42,772342
2019,43,226878
2019,44,1497313
2019,45,686615
2019,46,175308
2019,47,328309
2019,48,76648
2019,49,828269
2019,50,492642
2019,51,564108
2019,52,167544
2019,53,305452
2019,54,729477
2019,55,178010
2019,56,777383
2019,57,1051456
2019,58,197857
2019,59,2606646
2019,60,833259
2019,61,272872
2019,62,1453934
2019,63,669117
2019,64,697899
2019,65,230583
2019,66,490594
2019,67,1168422
2019,68,769231
2019,69,1921014
2019,70,231773
2019,71,547362
2019,72,567118
2019,73,447797
2019,74,862267
2019,75,2102650
2019,76,1254204
2019,77,1452775
2019,78,1461524
2019,79,373899
2019,80,564067
2019,81,394546
2019,82,266039
2019,83,1110260
2019,84,563789
2019,85,709274
2019,86,441534
2019,87,370113
2019,88,355884
2019,89,329321
2019,90,136891
2019,91,1316053
2019,92,1642002
2019,93,1682806
2019,94,1426748
2019,95,1274374
2019,France métropolitaine ,65834837
2019,971,375845
2019,972,347686
2019,973,301099
2019,974,873102
2019,976,310022
2019,DOM,2207754
2019,France métropolitaine et DOM,68042591
2020,01,671937
2020,02,522791
2020,03,332443
2020,04,166654
2020,05,139942
2020,06,1110328
2020,07,332230
2020,08,265417
2020,09,154581
2020,10,312713
2020,11,379775
2020,12,279504
2020,13,2069118
2020,14,700595
2020,15,143639
2020,16,351036
2020,17,665904
2020,18,297274
2020,19,237077
2020,2A,163955
2020,2B,187300
2020,21,536166
2020,22,607834
2020,23,113106
2020,24,411382
2020,25,550112
2020,26,523185
2020,27,596710
2020,28,428994
2020,29,926065
2020,30,757435
2020,31,1470367
2020,32,192820
2020,33,1691437
2020,34,1232805
2020,35,1118600
2020,36,214914
2020,37,618016
2020,38,1294476
2020,39,256814
2020,40,428669
2020,41,326465
2020,42,772342
2020,43,226878
2020,44,1497313
2020,45,686615
2020,46,175308
2020,47,328309
2020,48,76648
2020,49,828269
2020,50,492642
2020,51,564108
2020,52,167544
2020,53,305452
2020,54,729477
2020,55,178010
2020,56,777383
2020,57,1051456
2020,58,197857
2020,59,2606646
2020,60,833259
2020,61,272872
2020,62,1453934
2020,63,669117
2020,64,697899
2020,65,230583
2020,66,490594
2020,67,1168422
2020,68,769231
2020,69,1921014
2020,70,231773
